Time,Abundance
7.00557,16.80583
7.0123,6.764595
7.01903,6.160564
7.02575,5.896088
7.03248,5.655243
7.03922,5.909283
7.04593,7.248692
7.05267,10.58818
7.0594,17.30761
7.06613,24.71354
7.07285,35.30869
7.07958,44.01861
7.08632,46.34728
7.09303,47.95681
7.09977,53.04266
7.1065,52.37903
7.11322,51.1909
7.11995,50.44684
7.12668,48.61794
7.13342,49.04867
7.14013,51.48984
7.14687,46.94318
7.1536,50.10694
7.16032,49.27388
7.16705,50.80634
7.17378,44.04412
7.18052,51.59499
7.18723,45.64398
7.19397,45.82626
7.2007,48.12781
7.20742,44.18982
7.21415,46.43896
7.22088,44.02774
7.2276,44.19864
7.23433,46.29549
7.24107,52.52727
7.2478,59.46071
7.25452,55.13555
7.26125,49.18566
7.26798,44.94621
7.2747,44.54035
7.28143,44.04387
7.28817,43.67976
7.2949,38.86494
7.30162,43.22313
7.30835,47.0818
7.31508,48.38239
7.3218,52.85473
7.32853,49.04839
7.33527,49.73577
7.34198,46.53631
7.34872,49.15099
7.35545,62.15392
7.36218,85.1402
7.3689,81.52386
7.37563,57.07474
7.38237,42.4049
7.38908,41.30173
7.39582,39.43602
7.40255,39.05264
7.40928,38.38739
7.416,44.76351
7.42273,53.21459
7.42947,51.27473
7.43618,45.03885
7.44292,39.46988
7.44965,39.15929
7.45637,41.48131
7.4631,39.38693
7.46983,42.90413
7.47657,38.69823
7.48328,41.47354
7.49002,36.76549
7.49675,39.85934
7.50347,38.73029
7.5102,36.75998
7.51693,37.31847
7.52367,38.09185
7.53038,37.41781
7.53712,37.81839
7.54385,38.74305
7.55057,41.5948
7.5573,91.01785
7.56403,697.6835
7.57075,3869.995
7.57748,11491.35
7.58422,17104.59
7.59095,11450.59
7.59767,3235.141
7.6044,442.4753
7.61113,65.51434
7.61785,41.86457
7.62458,40.86261
7.63132,41.02226
7.63805,38.74001
7.64477,38.03128
7.6515,38.30719
7.65823,39.30398
7.66495,34.02398
7.67168,34.80521
7.67842,35.25401
7.68513,34.93121
7.69187,35.68576
7.6986,37.82076
7.70533,39.0848
7.71205,40.30298
7.71878,38.95481
7.72552,34.7476
7.73223,39.14024
7.73897,36.50623
7.7457,36.11365
7.75243,33.64
7.75915,33.5648
7.76588,34.31541
7.77262,34.10496
7.77933,36.75378
7.78607,34.35674
7.7928,34.37959
7.79952,37.30108
7.80625,39.84859
7.81298,34.83891
7.81972,40.27697
7.82643,35.84726
7.83317,36.64244
7.8399,37.48085
7.84662,38.46647
7.85335,38.90705
7.86008,37.35324
7.86682,36.67165
7.87353,35.43443
7.88027,36.68172
7.887,32.07713
7.89372,35.55606
7.90045,36.10539
7.90718,38.36385
7.9139,37.12006
7.92063,37.36486
7.92737,39.28237
7.9341,35.03891
7.94082,34.91295
7.94755,35.82929
7.95428,35.86039
7.961,32.34033
7.96773,34.55198
7.97447,35.56696
7.9812,34.59205
7.98792,36.87182
7.99465,34.43102
8.00138,32.99927
8.0081,34.23812
8.01483,36.83685
8.02157,39.51076
8.02828,42.95234
8.03502,50.05694
8.04175,47.27092
8.04848,39.70535
8.0552,43.24852
8.06193,41.13259
8.06867,38.37038
8.07538,35.56245
8.08212,36.30763
8.08885,32.70873
8.09558,33.97708
8.1023,33.67591
8.10903,36.08075
8.11577,36.10903
8.12248,39.40639
8.12922,37.84426
8.13595,34.22407
8.14267,34.19096
8.1494,38.08352
8.15613,38.80365
8.16287,43.99936
8.16958,47.14762
8.17632,50.88874
8.18305,53.02642
8.18977,54.60279
8.1965,52.33026
8.20323,53.8669
8.20997,47.39119
8.21668,39.45545
8.22342,38.5574
8.23015,33.83398
8.23687,38.17424
8.2436,36.70029
8.25033,36.90468
8.25705,35.69003
8.26378,40.24808
8.27052,40.14296
8.27725,36.74831
8.28397,34.64178
8.2907,33.90623
8.29743,35.17385
8.30415,32.8698
8.31088,31.89001
